iterationnumber,timestamp,execution_time_ms,comment,start_date,end_date,train_ratio,M,k,x,model_name,seed,nodes,threads,processes,indices,actual_freq,P_hat,count,std_error,ci_lower,ci_upper
0,2025-11-20 18:41:55,70670,Run with 100_000_000 M,2015-01-01,2025-12-31,0.8000,100000000,5,0.0200,openmp,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040013,4001326,0.000020,0.039975,0.040052
0,2025-11-20 18:42:52,56995,Run with 100_000_000 M,2015-01-01,2025-12-31,0.8000,100000000,5,0.0200,serial,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040013,4001326,0.000020,0.039975,0.040052
0,2025-11-20 18:50:19,2773,Run with 100_000_000 M,2015-01-01,2025-12-31,0.8000,100000000,5,0.0200,cuda,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039478,3947776,0.000019,0.039440,0.039516
