"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","8,561.10","8,600.85","8,600.85","8,546.01","","-0.48%"
"10/30/2025","8,602.35","8,616.80","8,616.80","8,557.55","","-0.15%"
"10/29/2025","8,615.32","8,597.09","8,644.80","8,595.50","","0.17%"
"10/28/2025","8,600.68","8,598.13","8,603.33","8,565.69","","0.01%"
"10/27/2025","8,599.64","8,579.92","8,607.90","8,568.69","","0.27%"
"10/24/2025","8,576.45","8,558.88","8,577.47","8,522.63","","0.24%"
"10/23/2025","8,556.28","8,522.78","8,574.73","8,522.78","","0.41%"
"10/22/2025","8,521.15","8,501.21","8,538.25","8,496.62","","0.15%"
"10/21/2025","8,508.25","8,499.67","8,524.17","8,486.75","","0.11%"
"10/20/2025","8,498.80","8,440.04","8,504.56","8,440.04","","0.77%"
"10/17/2025","8,433.78","8,511.43","8,511.43","8,350.70","","-0.91%"
"10/16/2025","8,511.23","8,459.91","8,511.23","8,451.29","","0.63%"
"10/15/2025","8,458.11","8,427.72","8,489.67","8,427.72","","0.41%"
"10/14/2025","8,423.16","8,437.90","8,437.90","8,364.04","","-0.27%"
"10/13/2025","8,445.97","8,409.34","8,465.03","8,409.34","","0.45%"
"10/10/2025","8,407.98","8,500.67","8,530.58","8,405.16","","-1.14%"
"10/09/2025","8,505.13","8,518.40","8,548.44","8,505.13","","-0.29%"
"10/08/2025","8,529.64","8,472.52","8,539.31","8,472.52","","0.71%"
"10/07/2025","8,469.36","8,486.04","8,503.13","8,458.56","","-0.16%"
"10/06/2025","8,482.96","8,493.64","8,500.38","8,433.61","","-0.06%"
"10/03/2025","8,487.85","8,443.81","8,495.18","8,443.81","","0.54%"
"10/02/2025","8,442.50","8,434.40","8,479.32","8,434.40","","0.08%"
