"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2025","13,784.53","13,866.85","13,871.09","13,765.68","","-0.65%"
"10/30/2025","13,874.96","13,883.70","13,915.95","13,796.85","","-0.07%"
"10/29/2025","13,884.72","13,873.62","13,954.01","13,850.68","","0.03%"
"10/28/2025","13,881.16","13,860.99","13,900.19","13,837.94","","-0.10%"
"10/27/2025","13,895.71","13,849.06","13,899.90","13,831.48","","0.64%"
"10/24/2025","13,806.74","13,833.57","13,856.10","13,748.16","","0.11%"
"10/23/2025","13,791.75","13,751.77","13,803.36","13,722.38","","0.52%"
"10/22/2025","13,720.89","13,801.26","13,833.03","13,712.84","","-0.84%"
"10/21/2025","13,836.76","13,836.60","13,866.69","13,797.39","","0.10%"
"10/20/2025","13,822.40","13,689.36","13,840.00","13,689.36","","1.31%"
"10/17/2025","13,643.47","13,670.45","13,724.17","13,516.61","","-0.79%"
"10/16/2025","13,752.04","13,636.04","13,752.28","13,591.31","","0.84%"
"10/15/2025","13,637.73","13,545.13","13,722.68","13,545.13","","0.95%"
"10/14/2025","13,508.83","13,509.90","13,511.66","13,352.18","","-0.28%"
"10/13/2025","13,546.55","13,479.29","13,602.74","13,479.29","","0.67%"
"10/10/2025","13,456.86","13,694.08","13,742.15","13,452.74","","-1.68%"
"10/09/2025","13,686.12","13,748.08","13,782.14","13,686.12","","-0.43%"
"10/08/2025","13,744.92","13,609.56","13,763.45","13,609.56","","0.64%"
"10/07/2025","13,657.07","13,696.05","13,730.04","13,649.48","","-0.27%"
"10/06/2025","13,693.81","13,758.15","13,758.15","13,637.36","","-0.41%"
"10/03/2025","13,749.73","13,765.19","13,789.17","13,724.53","","0.10%"
"10/02/2025","13,735.38","13,665.70","13,805.30","13,665.70","","1.16%"
