iterationnumber,timestamp,execution_time_ms,comment,start_date,end_date,train_ratio,M,k,x,model_name,seed,nodes,threads,processes,indices,actual_freq,P_hat,count,std_error,ci_lower,ci_upper
0,20/11/2025 18:41,70670,Run with 100_000_000 M,01/01/2015,31/12/2025,0.8,100000000,5,0.02,openmp,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040013,4001326,0.00002,0.039975,0.040052
0,20/11/2025 18:42,56995,Run with 100_000_000 M,01/01/2015,31/12/2025,0.8,100000000,5,0.02,serial,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.040013,4001326,0.00002,0.039975,0.040052
0,20/11/2025 18:50,2773,Run with 100_000_000 M,01/01/2015,31/12/2025,0.8,100000000,5,0.02,cuda,67,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,0.011696,0.039478,3947776,0.000019,0.03944,0.039516
0,23/11/2025 19:08,532469,Run with 100_000 M,01/01/2015,31/12/2025,1,100000000,5,0.02,python,42,0,0,0,STOXX50E:^STOXX50E;CAC40:^FCHI;DAX:^GDAXI;FTSE100:^FTSE;FTSEMIB:FTSEMIB.MI;IBEX35:^IBEX;SMI:^SSMI;AEX:^AEX;BEL20:^BFX,NaN,0.00051,50722,0.000002,0.000503,0.000511
